Name,Date,Rate,Comment
MrZythFx,30/01/2019,1,"scum bags need every dime you can get eh? it's a good thing no one in customer service ever speaks English as a first language, otherwise I might be able to find out why I'm getting screwed by useless deals and free shipping but if you press this button we secretly add 4 dollars!"
Jacob K.,17/02/2019,1,"It's gotten to wear there is ALWAYS a problem with my order to the point where it would just about be cheaper to drive an hour to the closest city that has the items I want to order rather than deal with duplicate items, items that break, and items that just can't be returned for no apparent reason... It's ridiculous."
Jessica Batallan,01/02/2019,1,Horrible! Ive been having a hard time w something so simple. followed allong w the steps and no reward. extremelly frustrating!
Rock C C Conway Jr,04/02/2019,2,Why the hell does the App keep telling me to download the new version because the old one will no longer be supported then when I click on DOWNLOAD for the NEW VERSION it says I already have it? Cant your website recognize that and quit telling me to download the NEW VERSION?
A Google user,17/02/2019,5,danbury ct mail is insecure for now sorta doing straight talk for the single liability I vote mvps chi town for mcdonalds liebach to 30s gang violence on spotify for the return meaning to Danbury fire who schooled it hereinafter no report no report jesus walks for kanye for the hr6147 McCain
Shelly Nelson,15/02/2019,2,App itself is fine does what it needs to to buy ... but the constant notifications for recommend deals are rubbish. Stuff I would never in a million years buy so its a waste of time. Wish they would actually tailor the notifications and let you rate how relevant yo you it is or turn these off all together. It just makes me angry that ive wasted my time going into something in would never want or need.
Skeeter,16/02/2019,1,"App is garbage. Takes for ever to load, if it ever loads (I am on wifi and mobile site works fine) Continously tells me something went wrong and have to start searchin again from the home screen."
karen simpson,13/02/2019,4,"As other people have stated, won't let me choose colour or sizing, just get a yellow wheel! Please fix as I can't buy anything, whereas before it was a brilliant app, so efficient and convenient!! Update! brilliant app, once it was fixed, it's been brilliant! I do all my shopping on it, no problems!"
BlueSialia,11/02/2019,2,App can't open supported links. It's a hassle to find an offer elsewhere and manually search for it in the app because clicking on the link will open the browser regardless of your configuration.
James Wyly,13/02/2019,1,"App is very low quality, ui elements are extremely unresponsive. Add to Cart button rarely works on my device, almost always hsve to reload pages multiple times or give up and order on desktop. Would never use this app if i didnt badically have to"
Tony Steele,19/02/2019,1,"I wish this app would work. Every time I try to use it I get ""UH-OH something went wrong on our end ""."
A Google user,10/02/2019,3,"*Edit: Wish the app worked better, have to tap the UI at least several times before anything happens. *Moreover, upon setting up my account, there's provisions to personalize your shipping preferences; ""item to be left at your door"" was the 1 I chose, however, my package (that was too large for my apartment complexes' mailbox) was left at the front door of the complex... exposed to the 60+ tenants I share that hallway with... Thank God they're an honest lot, that was *extremely unprofessional."
Kalynn Chang,15/02/2019,1,"It is in very poor taste that a company this big has a charity option (Amazon Smile), but chooses not to allow that in their app. Apps are usually for convenience, however, it is only available on the website."
Benjamin Padilla,15/02/2019,4,"This app is pretty good. Not perfect but good. It's layout is good. I like the ""similar items consumers viewed"" based on what I'm currently looking at. That's extremely helpful when trying to find the best deal."
Adam Brooks,01/02/2019,1,Worst return policy I've ever delt with. It used to be easy to return product but now it is nearly impossible and they make you jump through hoops.
Perla Vazquez,04/02/2019,5,"DONT believe the bad reviews. It's mainly just people who dont actually know how to use the app: A. ""I have Amazon prime but for some items I still have to pay for 2 day shipping"" no stupid, only items under ""Prime"" are free shipping. that's my it's called ""prime membership"" B. ""customer service is rude and doesn't help at all"" their literal job is to help you, if they are rude it is definatly because you were being an annoying b*tch. Trust me, it's ALWAIS the customer's fault."
Sallie Shows,16/02/2019,5,Amazon rules! its like online walmart but better. I can get my favorite hot sauces from California on Amazon. Tastes like LA! Try Pico Pica red or green So amazing!
Alex Ruimy,02/03/2019,1,"how can Amazon release a web wrapper app? it's brutally, impossibly slow. just let me give you my money faster!"
A Google user,02/02/2019,1,Everytime I open this app I get a message telling me it's going to be obsolete and I need to get the new version. When I try to get the new version by clicking the button it takes me to the page where it just says open the app. No new virsion. No install. So annoying.
Brenton Sherwood,15/02/2019,1,"Never works. Every time a page opens i can see the content for 1 second and then a picture of a dog pops up and it says ,""Oops. Something went wrong on our end."" It's been happening for over a year and never works."
A Google user,30/01/2019,3,Sometimes I don't get correct order and aometimes doesnt get fixed‼️ Some problems. Cant rate any more‼️ To honest‼️ Amazon blocked me from rating‼️😞
Max Jessen,03/02/2019,1,"Tried it again, soo many issues Claims I'm not prime member. It does not show earlier purchases. If I use web page I get free or low cost shipping, in the app it is between en 50 and 300 % on top of the purchase price, as in item costing 18$ with a shipping fee of 53$ that seems ridiculous. The web page shows price in local currency, the app doesn't. And so on... I think it is because they do not focus on my country yet, and it is a small country so..."
Fhelix Gamer,04/02/2019,1,"Horrible I bought 5 items and only one came in, and guess what I couldn't even get my money back! I threw away a total of $200 dollars. Horrible service I wish I could rate this app below 0"
James Eaton,06/02/2019,2,"Getting ""oops something went wrong"" while connected to wifi. Cant figure out what is causing this."
A Google user,07/02/2019,1,App continuously has errors and must go back to home screen. I love seeing dogs but I can never see any of the products im tryong to view.
Barkat Rezae,02/02/2019,1,the worst returning process ever. you made a mistake of sending me wrong and i have to pay for the return shipping? you serious is this the new way to make money. this is the first and last time i will order anything from amazon.
Zeshan arshad,12/02/2019,1,"nonsense id rather download ali baba,when it came to signing in there was a security verification that you had to type the characters above,whenever i used to do it,it would never continue😤😤😤😤 im very disapointed amazon,im really disappointed"
David Robinson,02/02/2019,1,still asking to uodate. recent update continually want to install new update even with dismissing the message. I've uninstalled restarted phone and reinstalled app and no change. getting to be a pain
A Google user,31/01/2019,2,Better than previous version. But still times out quite a lot unlike other apps eg eBay. Guess what that does to my shopping habits....
aggie veikoso,05/02/2019,2,"just downloaded the app but it seems to be playing up. Managed to search the items but a minute after the results pop up, it refreshes and goes back to its home page. This happened a few times, so I just gave up."
Alex Jones,03/02/2019,3,Excellent customer service. Fast delivery. Will take 2 stars for having its founder meddling in politics and not minding his business (of selling).
Carlo Fantozzi,31/01/2019,1,"Amazon use to have good customer service, but I guess they got too big for their own good. They only look out for their third party merchants and the customer reviews are rigged. If I could give zero stars I would."
Dr Mark Helfand,03/02/2019,2,"The app plays music well. The rest of it is horrible. I got it with Prime so it was free. However, downloading music, buying music, deleting music is a nightmare. I can search for a song online, buy it & download it. But when I search for it offline, after all that, it isn't offline. What a mess. I only use it because it's free."
A Google user,13/02/2019,1,"Terrible customer service. I just want my product that I bought, so I never have to deal with Amazon anymore!"
Michael Richardson,30/01/2019,1,I've been a prime member for over four year Amazon take their membership fee at my account every month but for some reason when I order something I can't get anything in 2 days I mean I get some things but I've been waiting on a package since Sunday and it's Wednesday and still no update on when I'm gonna receive it I called customer service about it they act like they didn't care what I was what I was saying canceled my membership I would never order anything again you lost a customer
A Google user,19/02/2019,1,"For people shopping internationally, I just wanted to get some UK products but they are limited here and the rates are terrible. Nothing that interesting for the listing. I'm guessing this is more of a daily needs shopping for Americans"
Danny Scalf,13/02/2019,1,"When goods are not delivered (but paid for), Amazon Prime deletes the item, so accountability can't be tracked. This practice actually enables disreputable sellers (most often from outside the US)."
Carey Litz,30/01/2019,1,"spent $150, never got my package or return money. I contacted both seller and amazon both haven't offered any help. its been six months and amazon says ive already complained once. so i guess i just lost my money"
Adiel Cohen,30/01/2019,5,My love for Amazon prime equals that of this app. It works fluently and is able to keep up with all the orders without causing disorder. I have yet to have an issue with it.
Jason Libby,11/02/2019,1,The updated app crashes constantly. I never had an issue with previous Amazon apps.
John Rodrigues,04/02/2019,1,"keeps coming up that I need to update. go to the play store and no updates. uninstall and reinstall, cleared cache and data. same nonsense. update installed. stopped for a day. happening again."
David Mull,04/02/2019,2,it sucks because it keeps telling me my current app will go out of use and to download the new app! I did and I have so where's the new app?
William Duran,31/01/2019,5,Loved the app but just got the new Note 8 and the app will not open. Ge5s stuck on main screen that says Amazon. Please fix
George Jose,09/02/2019,1,"sub menu options sometimes do not respond when clicked. like changing the quantity, size or color of an item. its been like this for months and is worse now. Is this really expected from an app from one of the most valuable companies in the world??"
Mark Bensink,09/02/2019,1,First time I've ever felt compelled to write a review. This app is useless. Every time I open it the app says support will soon end and gives an option to install new app. Clicking only takes you to the same app in the app store. Sometimes there is the option to upgrade sometimes not. Upgrading seems to make it worse. The app does nothing but crash now. Total piece of expletive!
Boštjan Bele,15/02/2019,1,"Not usable! When I start the app, first I get asked to choose the right amazon (using amazon.de), then I should login. Login is not possible, because the app says I have no internet (what is not true). then I skip the login and get surprised with pics of dogs with the sentence ""Oops! Something went wrong"". This error was first seen last quarter of the last year! Errors may happen, but not repairing them is IMO the worst thing."
Nick Diamanti,18/02/2019,3,hangs up cant even open it right. now dont know why restarted phone so its def. not my end
Chris McDannold,20/02/2019,2,"WHERE ARE THE RELEASE NOTES?! Another update, another plug for a feature instead of describing what was added or fixed with the update. Why do app devs believe that it is ok to release updates without actual release notes?"
James Brousseau,15/02/2019,1,do not get iteam by promised 2 day shipping it's a joke you always get late due to lazy employees not doing their job so you get delivery when promised by you pay all this money for prime and when you buy an iteam because delivery date promised they change when ordered and don't ship till it's a day late at least so don't order something cause it says it will be here in 2 days cause it wont
jojo warden,04/02/2019,5,So far I haven't had any problems with their service or any deliveries!!! As far as I'm concerned 5 star all the way.
Jim Monroe,11/02/2019,1,"I have not been able to sign in to my account using my phone. Message says the password is incorrect, yet I can sign in via my computer. Frustrating, I tend to use my phone more than my computer."
Amber Honkomp,11/02/2019,3,I am having trouble purchasing the things I bought on Amazon with my giftcard. I'm rather annoyed. I keep on getting emails saying to update my information. why won't my gift card work?
Cobuscus G,14/02/2019,1,"I tried to order something, had just enough money, check Amazon the next day told me to ""review payment options"" so I did checked my card balance and this has taken a pound off for no reason, wouldn't recommend"
Beverly Maierson,16/02/2019,3,"just not the best app. feel it could be designed better. it also keeps telling me I need to update, when I already have. very annoying."
Apryl Pohlman,05/02/2019,1,"Too many times lately my packages arrive late. Guaranteed by a certain day and they don't show. Once again package is late. They couldnt tell me where it was or why it was late. Was suppose to come USPS, and ironically after speaking with customer service I get an update saying its now coming in next day air from the sake location it was supposedly shipped out of this weekend. No offer for a refund just a $5 to next purchase."
Carmen Martinez,04/02/2019,5,I love this app. i use this app every day and any time I want. I can check my list of things I want to buy and receive alerts when prices change and are lower. I recommend this app to all Amazon fans and everyone.
Mark Powell,02/02/2019,2,More ways to make Mr Bezos richer beyond comprehension. Tricked out of a promotional discount because I completed a purchase outside this app.
Lucy Owusu,31/01/2019,5,"This app is good an the best to riliable that i admire to my friends to follow this app, i buy something en the venditer sent me difrent thing that am not expeted ,infact i was desperate of my money being wasted ,Amazon has arshuor me that my money will pay back by venditer an thir words are treu ,a very big thanks you"
R D,13/02/2019,2,Clunky app. Buttons randomly don't work. The app is pretty slow. This is on an s9+. Incredible that Amazon can't even get an Amazon shopping app right. Like how??
LesB,02/02/2019,4,"Most Improved since Stupid "" Recommendations "" are removed ! Lists, controlled by User are Very Useful ! Prime MEMBERSHIP is Good BUT Getting Too expensive. User Checkout is GOOD !"
Julianna Reader,18/02/2019,1,"the update causes this app not to work. as soon as I open it it says ""uh oh, something went wrong on our end"". it's been like this since Jan 28 and hasn't been fixed. extremely frustrating and disappointing"
Cheryl Kaye,30/01/2019,2,having issues with the app. will not open. says problem is on your end but then tells me to check my connection. nothing wrong with my connection.
Nate,02/02/2019,1,"""uh oh. Something went wrong"". This is the message I get about half the time instead of a page loading. I HATE this app. One of the worst I've seen."
Dena Mehrens,04/02/2019,4,"most times u can find what your looking for,other times u find what your looking for and can't order it,or like my last order,I thought I was ordering 1 of each except 1 item which I ordered 2 and got 2 of everything,when I looked at my review of my order it said 1 of each items except the one,when I went to relook it up when I got my order it would allow me to serve recent orders."
M C,09/02/2019,1,"Love them as a company, however, their choice to use Intelcom as a “courier service“ has driven me away..... Amazon doesn't seem to care about customer service anymore and it's sad. When you request to have your packages shipped through ANY ONE ELSE, they tell you they can't do that because some of the things I might want are shipped in the areas where only Intelcom can pick them up. That's false. Amazon warehouses are in cities where other courier companies like Purolator and C. P. work as well"
Will Kaufman,17/02/2019,1,"App is useless. About 75% of the time it fails to display pages, returns errors, and just plain doesn't work. I frequently uninstall it so I can just use the mobile site, then re-install it because I need it for some stupid Amazon reason."
A Google user,17/02/2019,3,I love the variety and the different ways tl find things but I hate that the interesting finds almost never updates. Its Febuary almost March and I still have christmas theme on the app instead of Valentines day or Mardi Gras.
L Jay,18/02/2019,5,"I love AMAZON my Shopping experience and my streaming experience with PRIME video are immeasurably pleasing. No other product (NETFLIX, HULU, VUDU or any other such streaming experience) comes close to offering the shopping or video streaming vastness of media and material available and diversity and bottomline pricing that AMAZON does... AMAZON has AMA-ZING"
Father Of Jesus,01/02/2019,1,Amazon apps drain battery life too quick. Probably all that tracking they do. So I've cancelled my prime membership because I can't watch prime video on Android.
Amber Bodi,31/01/2019,1,Amazon lied to me! I was told I would receive a $10 credit. didn't receive. after talking to 2 different Amazon reps who told me they would credit me I still havent received it. liars. liars. cheats.
Sergio Fregoni,01/02/2019,1,"la peggiore esperienza di reso mai avuta con un ecommerce. semplicemente vergognoso. senza scuse. un mese per organizzare il pick up del reso senza emettere rimborsi, situazione mai risolta nonostante le promesse vuote del customer care. da cliente facevo più di un ordine alla settimana, ora che ho provato il reso ho disinstallato l'app."
James Dixon,04/02/2019,4,It's very convenient. There is some scammers thats fir sure but its bit too bad.
A Google user,31/01/2019,2,i love Amazon but this app is terrible. there's so many bugs and it freezes up every time in use it.
Andrew cunha,09/02/2019,5,I love Amazon but the main reason I give this rating is for their customer service and support. It is top of the line. I have always been able to have my issues resolved and for that I will stick with them. This is why I pay to be a member and this alone is worth the fee. Thank you for that.
Jeff Russell,20/02/2019,4,"Still crashes all the time. Using Google pixel, latest os and app update. Even after wiping data/cache."
soyini richards,31/01/2019,3,easy to navigate. infinite variety of anything you need. Dependable delivery and products are always as advertised. the Whole foods discounts needs to be available instore as well.Not only online.2 stars lost for that.
Rocky Mont,05/02/2019,1,I am already tired of this App telling me if i don't update then the existing update will soon no longer function.
Edson Ozz,08/02/2019,1,"The app it's not working and the website, I wanted to cancel my account and noting works, this is taking money from me I'm really sorry for all this but it's not working since January."
Terri McNamara,14/02/2019,5,very good customer service. this is very important to me and it's a make or break deaa al for me. I am truly happy with my experience with AMAZON. Thank your customer rep for my business. I spoke with Renee today and it was a pleasure.
Ray Malone,13/02/2019,5,I bought Harley Quinn's spike cuffs and yes sir cuff and Her puddin coller as well as her gun but it hasn't come yet it said it's comming in March or April and the gun was $20 I am buying the shoes soon also and I forgot I bought the wig as well and The wig was $40 it fit me good for my age I'm only 12 years old so it was really good and I spent my money on the wig but I got the rest for my birthday my grandma bought it for me sorry I'm tipping a little bit too much I'm just so excited! 5 stars
steven graves,16/02/2019,5,I know there a giant company but i have no complaints this company knows how to treat customers. I always get my package on time or early and just did my first return/refund I UPS it yesterday got my money today. Awesome customer service.
Karolyn Benjamin,29/01/2019,5,"The newest version of the Amazon App doesn't require to download from an unknown source, which is why I uninstalled the older version. The new Amazon App has an easy to use user interface. I much prefer the new version. Love shopping on Amazon and being able to track package progress."
Lisa Tibbetts,01/02/2019,5,SMILE finally! Thank you so much for putting that in the app. i always made my selections on the app but then would go onto the internet to place my order thru Smile. i really hope that this is a chang to stay.
Vicky Cooper,14/02/2019,4,"Love this App! There are some issues with the List Drag and Drop option (which I used Daily), and the rating will go back up to 5*. Sometimes it simply does not appear, and manually adding items to my lists is bothersome on a Mobile device. Please fix 😉"
Ricardo Garcia,30/01/2019,1,"why can i never use the app on my phone? Got a new phone and same issue, ""Something wrong on our end"". its been over a year smh."
Alexander Noritz,20/02/2019,1,"useless, wont let me buy. It keeps saying I need to change address when Im using the one I have always used (and received many packages before)"
nathan smith,14/02/2019,4,The treasure truck location pick up select screen crashes every time it is opened. Works fine in a browser but crashes the whole app.
Ward W,19/02/2019,2,After I click on an item the app often shows a blank screen and takes forever to load. It seems my app experience has degraded a lot over the past few months...
Amir Kasim,15/02/2019,1,i have worst experiance with amazon i want ban thi app i have order 1 choclate packet after delivery i open the box i got only plastics some1 eat already and in the website there not refundable i have tried buy i didnt get any solution i loss my money and i feel like some1 steal from my pocket .....
Roy T,12/02/2019,5,love the app if you got a problem with anything they will handle it regardless of what it is the the customer service is just flawless seriously just the nicest people I've ever talked to in my life they listen they hear you out they don't try to rush you off the phone they're very nice people they always have everything I ever need the companies that are on here selling their stuff the very nice man the company's on here make sure they handle their business also
Nate Phalatse,06/02/2019,1,"You double billed me and now I can't get any feedback on how to get my money back.. This sucks, your app is not helpful at all"
Micheal Gill Sr.,17/02/2019,2,my books were stolen and when they replace them they only sent one book and it didn't come on time the one book came the next day and I'm still trying to find the other one
A Google user,08/02/2019,1,this app will not load and I get a message that my current app will not be supported so what do I do uninstall and go down to the shops in town.
Chef,17/02/2019,4,love it but I have to click multiple times for the app to receive the command. This little bug needs to be updated and fixed. Other than that I love it!
shan cyrel cabezas,04/02/2019,1,very worst i order two times not comming. souq is good but no items i looking for.please amazon fix the issues
Paul Morris,10/02/2019,1,very bad can't get it stop saying update .allready upgrade have to doit every time I use it
A Google user,08/02/2019,4,I love this way everything is so easy and quick! the good old days are here we join Google living freedom a🥉😁🤣😚🤔how did we ever get by without it?🙃🤪😷
nagesso narrow,13/02/2019,5,"i have no any performance shopping with you, that is my problem i don't know how to use with you, thus, many times i have ordered but not shipped is all my order not completed?i don't knew any how excersise me thank you"
A Google user,09/02/2019,5,"Amazon is a great Place to shop for just about anything you want you can order it from Amazon!!! Amazon Prime is even better because you don't have to pay for shipping and Handling and it gives you free Return on every product you purchase from Amazon!!! I recommend that everyone should use Amazon Prime because of the Savings and Great Price and the Great Customer Service!!! Thank You, Stuart"
Mike Sunde,13/02/2019,1,"if you want to get lied to, repeat yourself constantly, or be transferred a ridiculous amount of times just to have a problem they caused not be resolved, this is the app for you! horrible customer service."
Joseph Prete,24/02/2019,1,"Why when I hit open button for Amazon App, it will not stay open. Everytime it says times running out. Very Annoying"
A Google user,01/02/2019,1,i never write reviews but this one i have too . recently i haven't been recieving my packages to find out that Amazon delivery people have been opening and throwing out my packages at random unsecured locations and as a result my personal information was expose. i use to relay on Amazon for everything and now i'll take my business else where.
Fasan Miracle,11/02/2019,1,This is not good i have almost 100$ in my amzon giftcard wallet and amazon block me i mail them they never reply back
A Google user,15/02/2019,3,"Delivery has gone way down hill, too often now packages don't hit the 2 day claim, are delivered to the wrong house or not delivered at all."
Helen Rendall,18/02/2019,5,"Amazing website, id recommend Amazon to EVERYONE . I'VE shopped with this site for a long time,and will continue to do so. Exelent service, wouldn't shop anywhere else. 😆😆"
David Dahl,18/02/2019,1,can't login with finger print. I'm tired of tapping my 26 character password and then having 2-step verification. please just let me use my finger print. it's 2019 for heavens sakes
Roland Ward,31/01/2019,5,Very very good so far i've only had 3or 4 items from Amazon but every item was delivered on time and in perfect working order.
Justin Hilliard,21/02/2019,1,Will not work on Motorola phone. Endless white or black screen but app won't load. Reinstalled multiple times with no change.
Scott Nelson,19/02/2019,3,"Every time I open this app, it says that support will soon end and I need to update it.....even though I have the most recent update installed.....AND......amazon does nothing to fix it."
Paul Mccrimmon,12/02/2019,5,"I like it! I use it for just about all my shopping, hate the crowds. I like the app better than the website"
David Slade,14/02/2019,5,"I love the convenience of shopping online, with this app you can find what you're looking for quickly with the search engine. It is simple to check out with the information on your selection so you can delete or keep. The cost and delivery information is shown so you have no surprises. It's all great!!"
Rafael Lebron,14/02/2019,2,"The searches are inaccurate, most items can't be displayed, so sales take me to either a blank item page or take me to items that arent related to the sale."
Dev Cotton,02/02/2019,5,Amazon is awsome I have had very good luck with everything but stuff from China IDK it's all ways really late and not as pictured other then that I love Amazon
A Google user,03/02/2019,1,"For some reason, the app keeps disabling itself and I have to go into the app store to enable it. Very annoying. (Samsung Galaxy s7)"
Marie Suazo _,07/02/2019,1,"Terrible service, I waited for my Prime delivery for two hours and then after waiting I received an email saying my order would be sent two days later.."
Justice aderhotl,11/02/2019,5,"yo, you guys send pictures of delivery now?!?!?! that's some of the coolest stuff ever. and you tell how many stops until its here. you guys rock."
Kymberlie Matthews,16/02/2019,4,canttttt live if living is without prime except I returned a phone the proper way for a refund and could not reach anyone at prime had the tracking number and no one at Amazon would help me once so I'm scared to order electronics and square trade isn't worth the paper it's written on.
Kash Babers,04/02/2019,5,"I'm very picky and precise about website apps but Amazon is always a go to .... hurry or not,it's a good dependable app!!! Amazon highly recommended"
A Google user,11/02/2019,5,I have order so many stuff I was please costumer service is excellent shipping is awesome everything was great I can encourage everyone to shop with this app the only thing I can never win prize
S G,06/02/2019,1,I will never talk to my phone as if it is human. Don't waste you time asking me to.
JoAnne Sharp,06/02/2019,1,who every is bringing the package suck @ there job y'all need fedex or ups to bring the packages i will not order from y'all every again the customer Jo Ann Sharp
Randolph Delva,30/01/2019,4,"Amazon is ""The"" place to do an all in one Shopping. You may find all and everything you're looking for. Shipping is great and fast at your speed, or FREE. The choises are there and prices great too. I like shopping Amazon."
Thomas Dworsky,29/01/2019,1,Evertime I scroll it opens items i'm not interested in. Thusly adding it to my history and advertising an item I don't want.
James Harrison,05/02/2019,5,"VERY EFFICIENT, CONVENIENT AND COST EFFECTIVE. OUR FAVORITE WAY TO SHOP ON THE NET. TOPS IN REGARDS TO CUSTOMER SERVICE AS WELL !"
A Google user,12/02/2019,5,puppy or puppy is 67times li5 tf and I think foe3r e the perperpetrator and o46 red 75 PM tee 553w3 people but but it 7whoee stand it self reto 66I 5 AM 52s in tre 7 tree3 tre 7I tree3 4 tre tr tree3p7 treese87 7llliilit5ytytyotu6yrieuttyyttr68rt65luutt tr i 7Iare 4]p tr tree3 6ee445e5 re tete 5e ree tee
joe mabe,16/02/2019,1,i buy a gift card for $100 someone steals my numbers off card from another state. and amazon will not do anything about it. they will not give me the person name or address to take him to court. so i will take Amazon to court... please people do not buy any gift cards from these stupid people. go to ebay instead
Gemma Farron,25/02/2019,5,"The old app was much better, on the new one i constantly get the message ""Sorry there's a problem on this page"" and crashes, every other day :("
Ben Noel,03/02/2019,5,"As of right now, I've never had any issues and my package always arrived on time without complications."
Cecelia Wood Greub,02/02/2019,4,I bought 2 fire sticks from you and still haven't gotten them! This was in December 2018! Can you tell me what happened??
420riptide,22/02/2019,5,Love Amazon but this app freezes a lot. Constantly re-opening the thing every once in a while it works fine.
Phil Breeds,01/02/2019,4,"Very good app and works very well. One feature that I would love to see is a button for marking non tracked items as ""arrived"". This would help manage deliveries and feedback better. Add this and you get 5 stars."
Sajjidur Rahman,14/02/2019,5,"Jeff Bezos the CEO really out here creating jobs for 500,000+ people that support so many families, donating billions to charity & giving me the ability to acquire any product i want and have it delivered to my door, without having to spend hours in stores searching for it. Man that's amazing! #CapitalismIsGreat #EntrepreneurshipRules"
A Google user,03/02/2019,5,l don't know why I am having app problem app keeps piping up how can I stop it
A Google user,31/01/2019,2,app freezes all the time.... awful.... hopefully a better update wil fix it
A Google user,04/02/2019,5,Literally everything in order is as exactly as it appears online. Very Great Products and Very fast shipping! This is a serious addiction !
Jimmy Ledwith,05/02/2019,2,I have two Amazon accounts (one is for my business) and it is virtually impossible to change from one account to another
Cameron Scott,19/02/2019,1,Misplaced it and lost packages. First tier customer service tried no refund no replacement. Won't be using this for a while/ever
A Google user,19/02/2019,1,"It's the same as the Amazon website, but it runs much slower on my phone and frequently freezes."
ContainsCreativeContent,03/02/2019,5,been usuing amazon prime for a year now and i will be renewing my membership once it expires. amazon helped us have the easiest best christmas ever. i get anytihng to my door in 2 days or less . thank you amazon
destiny and aiden,10/02/2019,1,I order some shirts never came I messaged them 4 times and had the messages sent to amazon to then when I checked again a week later the shirts where off my list and no record of them ever being there
David Torres,19/02/2019,1,"i ordered an item, and it took a week for the seller to cancel my order bcus my item was out of stock. but its taking me 3 weeks to get my money back. canceling my prime acct. just WOW amazon. walmart and EBAY have nothing to about."
A Google user,18/02/2019,5,"WARNING- before you read any of these other reviews, most of them are about the 3rd party seller they bought from or their wifi/data connection on their end, most of them have nothing to do.with the quality of the app"
Stefan Gonser,09/02/2019,4,"credit app purchases to amazon smile. Not like it's a significant donation so, only remotely meaningful over many, many, many transactions."
A Google user,12/02/2019,1,I get the run-around when I try to claim my $10 credit AND it freezes up half the time!
A Google user,19/02/2019,1,"Unperformant, slow, clearly not native. Horrific UX, awful transitions, website is equally good."
A Google user,19/02/2019,1,signed me up for prime and charged me 12.99 a month! I didnt ask for prime! just another way to rip people off!
pam Flett,19/02/2019,1,I hate that Amazon will put a price on an Item then when I click on that item the price is actually $20 more. I will never buy an Item that Amazon does this too!!!!!
Darlene S,22/02/2019,5,It has been a very enjoyable trip. I did have trouble figuring out my billing.
Raphael BONNAIRE,31/01/2019,1,"pas content. commande avec mention express de livraison devant ma porte en cas d absence. j ai du commander bien 70 produits en decembre 2018 et quand je check qu il m en manque 1. on me dit a vous avez dépasser le délai de 30 jours de reclamation... alors que je ne me suis jamais fais livrer. ça s appelle du vol !... pourquoi dire livrer quand c est pas livré. quand le produit n est pas livré, vous mettez un mauvais commentaire, ils l enlevent ! car vs ne pouvez pas avoir 1 avis. et pour cause!"
Alex Crook,10/02/2019,5,"i spend hundreds of pounds with Amazon and watch tv with prime, fantastic value 24/7 365 days a year."
Nevaeh Tillman,06/02/2019,5,I always shop on amazon and I have so many options for 1 item! I absolutly love how if you have prime you get free shipping with prime orders. I shop on amazon daily and i have never not gotten something I have ordered. You can also see what your package is doing it tells you when it is shipped and when its out for delivery!
Alejandro Lozada,06/02/2019,1,They deposited $41 into my account and 2 days later they took the money away. I'm disappointed.
Jennifer Lamphere,06/02/2019,5,Best shopping app! Amazon Prime is my immediate go to site. If they dont have it; they have something like it...if they don't have something comparable to what you are looking for...I would say it doesn't exist! :)
Shaylah Rae,10/02/2019,3,"Handy to have, but lately it tells me I have to update it every time I open the app. It brings me to the app store page and there's nothing to upgrade."
Jonathan Turner,13/02/2019,1,Cannot load big pictures of any product on LG G5. Tap image and just get spinning circle. Please fix.
Kevin Crocker,04/02/2019,3,app used to be good now the add giftcard function is buried in the menus instead of in the main camera function.
A Google user,09/02/2019,1,first hand knowledge amazon and its sellers are crooks ! peddling mass quantities of junk that they dont want returned so they charge shipping and restocking fees even when they send the wrong item.
Tammie Bales,17/02/2019,1,The app icon stops working and I have to uninstall it and install again. Please fix it
J Vie,30/01/2019,3,Trying to get my Amazon shopping done and I can't find the program my CP is out of order so I have to move this all to my phone it's a lot smaller and harder to use
Dorothy Srembo,02/02/2019,4,Seems to be on track without prior issues crashing. Looks like all is good for now!
Eric Lafayette,03/02/2019,2,when I go th buy an item It says that nothing is in my orders if someone could help me that would be great!
A Google user,05/02/2019,4,"I love this app so much, I do nails so this is where i buy all of my products. It even sometimes give discounts if your a member for a while! :)"
A Google user,02/02/2019,3,"It's great for finding & ordering basically anything you need, but searches for non-specific items can be EXTREMELY frustrating & chaotic, especially when trying to do price comparisons btwn several similar/identical products, & further complicated when you have 2 decide btwn better price vs longer ship times-even WITH a Prime acct, which is NOT made clear (exmple--My daughter's X-Mas was RUINED over a purchase I made that, while it was the best price, order DEC 21st didnt arrive until JAN 3rd)"
Ted Martinet,05/02/2019,5,"Best online shopping app as of today. Always find the best deals, especially if you are a prime member. Have found hard to find items using their search engine."
Scott M,09/02/2019,1,Recent update causes this to hang then crash after every launch. Completely useless now.
Liang Heng,13/02/2019,5,love the customer service (god bless) as well as the speed of shipping. i be getting my stuff exactly two days after ordering~ [except for a few items]
A Google user,02/02/2019,1,it keeps asking me to upgrade and I've done it several times and it's still saying that I need to upgrade
A Google user,17/02/2019,5,great app can't say anything bad had a little trouble with startup that was my fault all around tens across-the-board you won't be disappointed
Lee Dyson,19/02/2019,4,"currently every time I open I get a warning that the app is out of date and link to update. click link which takes me to the store and there is no update, just open at which point I can then carry on as normal. deleted and reinstalled app but remains the same"
